nov 11/21:41:27.691 DEBUG2 : 		ReadReg Index=0x07
nov 11/21:41:27.691 DEBUG2 : 		ReadReg Index=0x08
nov 11/21:41:27.691 DEBUG2 : 		ReadReg Index=0x09
nov 11/21:41:27.691 DEBUG2 : 		ReadReg Index=0x0A
nov 11/21:41:27.691 DEBUG2 : 		ReadReg Index=0x0B
nov 11/21:41:27.691 DEBUG2 : 		ReadReg Index=0x0C
nov 11/21:41:27.691 DEBUG2 : 		ReadReg Index=0x11
nov 11/21:41:27.691 DEBUG2 : 		ReadReg Index=0x12
nov 11/21:41:27.691 DEBUG2 : 		ReadReg Index=0x0E
nov 11/21:41:27.691 DEBUG2 : 		ReadReg Index=0x0F
nov 11/21:41:27.691 DEBUG2 : 		ReadReg Index=0x10
nov 11/21:41:27.691 DEBUG2 : 		ReadReg Index=0x14
nov 11/21:41:27.693 DEBUG2 : 		STLinkWriteReg Index=0x10 Data=0x01000000
nov 11/21:41:27.695 DEBUG2 : 		SetCodeBreak Address=0x200000C0
nov 11/21:41:27.723 DEBUG2 : 		STLinkIsCpuHalted - Stopped
nov 11/21:41:27.724 DEBUG2 : 		PlDriver::Go(core 0): mIsExecuting[0] = true
nov 11/21:41:27.725 DEBUG2 : 		ReadReg Index=0x0F
nov 11/21:41:27.737 DEBUG2 : 		ReadTarget16 Address=0x20000238 AP=0 Count=2 Data=0xF7FF
nov 11/21:41:27.737 DEBUG2 : 		<Call to _ExecDeviceFlashExecutionStarted: macro undefined
nov 11/21:41:27.737 DEBUG2 : 		<Call to execUserFlashExecutionStarted: macro undefined
nov 11/21:41:27.741 DEBUG2 : 		ReadTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
nov 11/21:41:27.741 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
nov 11/21:41:27.749 DEBUG2 : 		ReadTarget32 Address=0xE0002000 AP=0 Count=4 Data=0x00000260
nov 11/21:41:27.753 DEBUG2 : 		ReadTarget32 Address=0xE0002000 AP=0 Count=4 Data=0x00000260
nov 11/21:41:27.757 DEBUG2 : 		ReadTarget32 Address=0xE0001000 AP=0 Count=4 Data=0x40000000
nov 11/21:41:27.761 DEBUG2 : 		ReadTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
nov 11/21:41:27.761 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
nov 11/21:41:27.765 DEBUG2 : 		WriteTarget32 Address=0xE0001028 AP=0 Count=4 Data=0x00000000
nov 11/21:41:27.769 DEBUG2 : 		WriteTarget32 Address=0xE0001038 AP=0 Count=4 Data=0x00000000
nov 11/21:41:27.773 DEBUG2 : 		WriteTarget32 Address=0xE0001048 AP=0 Count=4 Data=0x00000000
nov 11/21:41:27.777 DEBUG2 : 		WriteTarget32 Address=0xE0001058 AP=0 Count=4 Data=0x00000000
nov 11/21:41:27.781 DEBUG2 : 		Go >
nov 11/21:41:27.807 DEBUG2 : 		Go <
nov 11/21:41:27.840 DEBUG2 : 		STLinkIsCpuHalted - Stopped
nov 11/21:41:27.840 DEBUG2 : 		<Call to _ExecDeviceFlashExecutionStopped: macro undefined
nov 11/21:41:27.840 DEBUG2 : 		<Call to execUserFlashExecutionStopped: macro undefined
nov 11/21:41:27.840 DEBUG2 : 		ReadReg Index=0x0F
nov 11/21:41:27.852 DEBUG2 : 		ReadTarget16 Address=0x200000C0 AP=0 Count=2 Data=0xE7FE
nov 11/21:41:27.856 DEBUG2 : 		ReadTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
nov 11/21:41:27.856 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
nov 11/21:41:27.860 DEBUG2 : 		WriteTarget32 Address=0xE0001028 AP=0 Count=4 Data=0x00000000
nov 11/21:41:27.864 DEBUG2 : 		WriteTarget32 Address=0xE0001038 AP=0 Count=4 Data=0x00000000
nov 11/21:41:27.868 DEBUG2 : 		WriteTarget32 Address=0xE0001048 AP=0 Count=4 Data=0x00000000
nov 11/21:41:27.872 DEBUG2 : 		WriteTarget32 Address=0xE0001058 AP=0 Count=4 Data=0x00000000
nov 11/21:41:27.876 DEBUG2 : 		PlDriver::Go(core 0): goStatus = 0
nov 11/21:41:27.880 DEBUG2 : 		ReadTarget32 Address=0x20002584 AP=0 Count=20 Data=0x08000000 ...
nov 11/21:41:27.880 DEBUG2 : 		WriteTarget32 Address=0x20000300 AP=0 Count=64 Data=0x08000000 ...
nov 11/21:41:27.884 DEBUG2 : 		WriteTarget32 Address=0x20002584 AP=0 Count=20 Data=0x00000000 ...
nov 11/21:41:27.888 DEBUG2 : 		STLinkWriteReg Index=0x0F Data=0x20000248
nov 11/21:41:27.890 DEBUG2 : 		ReadReg Index=0x00
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x01
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x02
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x03
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x04
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x05
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x06
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x07
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x08
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x09
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x0A
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x0B
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x0C
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x11
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x12
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x0E
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x0F
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x10
nov 11/21:41:27.898 DEBUG2 : 		ReadReg Index=0x14
nov 11/21:41:27.900 DEBUG2 : 		STLinkWriteReg Index=0x10 Data=0x61000000
nov 11/21:41:27.902 DEBUG2 : 		PlDriver::Go(core 0): mIsExecuting[0] = true
nov 11/21:41:27.902 DEBUG2 : 		ReadReg Index=0x0F
nov 11/21:41:27.915 DEBUG2 : 		ReadTarget16 Address=0x20000248 AP=0 Count=2 Data=0xF7FF
nov 11/21:41:27.915 DEBUG2 : 		<Call to _ExecDeviceFlashExecutionStarted: macro undefined
nov 11/21:41:27.915 DEBUG2 : 		<Call to execUserFlashExecutionStarted: macro undefined
nov 11/21:41:27.919 DEBUG2 : 		ReadTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
nov 11/21:41:27.919 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
nov 11/21:41:27.923 DEBUG2 : 		WriteTarget32 Address=0xE0001028 AP=0 Count=4 Data=0x00000000
nov 11/21:41:27.927 DEBUG2 : 		WriteTarget32 Address=0xE0001038 AP=0 Count=4 Data=0x00000000
nov 11/21:41:27.931 DEBUG2 : 		WriteTarget32 Address=0xE0001048 AP=0 Count=4 Data=0x00000000
nov 11/21:41:27.935 DEBUG2 : 		WriteTarget32 Address=0xE0001058 AP=0 Count=4 Data=0x00000000
nov 11/21:41:27.939 DEBUG2 : 		Go >
nov 11/21:41:27.965 DEBUG2 : 		Go <
nov 11/21:41:27.972 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:27.988 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.004 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.018 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.035 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.051 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.067 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.082 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.097 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.113 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.129 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.169 DEBUG2 : 		STLinkIsCpuHalted - Stopped
nov 11/21:41:28.169 DEBUG2 : 		<Call to _ExecDeviceFlashExecutionStopped: macro undefined
nov 11/21:41:28.169 DEBUG2 : 		<Call to execUserFlashExecutionStopped: macro undefined
nov 11/21:41:28.169 DEBUG2 : 		ReadReg Index=0x0F
nov 11/21:41:28.181 DEBUG2 : 		ReadTarget16 Address=0x200000C0 AP=0 Count=2 Data=0xE7FE
nov 11/21:41:28.185 DEBUG2 : 		ReadTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
nov 11/21:41:28.185 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
nov 11/21:41:28.189 DEBUG2 : 		WriteTarget32 Address=0xE0001028 AP=0 Count=4 Data=0x00000000
nov 11/21:41:28.193 DEBUG2 : 		WriteTarget32 Address=0xE0001038 AP=0 Count=4 Data=0x00000000
nov 11/21:41:28.197 DEBUG2 : 		WriteTarget32 Address=0xE0001048 AP=0 Count=4 Data=0x00000000
nov 11/21:41:28.201 DEBUG2 : 		WriteTarget32 Address=0xE0001058 AP=0 Count=4 Data=0x00000000
nov 11/21:41:28.205 DEBUG2 : 		PlDriver::Go(core 0): goStatus = 0
nov 11/21:41:28.209 DEBUG2 : 		ReadTarget32 Address=0x20002584 AP=0 Count=20 Data=0x00000000 ...
nov 11/21:41:28.209 DEBUG2 : 		WriteTarget32 Address=0x20000300 AP=0 Count=8192 Data=0x20004598 ...
nov 11/21:41:28.317 DEBUG2 : 		WriteTarget32 Address=0x20002584 AP=0 Count=20 Data=0x08000000 ...
